({{integer 1 10010}}, {{integer 1 10003}}, {{integer 1 233}}, {{float 1000 5000 2}}),


INSERT INTO boost_rewards 
VALUES 
(9265, 2700, 65, 3708.56),
(6569, 5157, 55, 3794.79),
(7850, 5142, 112, 1479.90),
(855, 7403, 38, 4736.57),
(3641, 3572, 202, 2032.45),
(7257, 24, 108, 1580.74),
(9627, 8713, 179, 4792.17),
(2174, 4645, 31, 4791.39),
(6833, 8159, 80, 4545.00),
(1616, 9105, 52, 4863.68),
(545, 2053, 63, 3132.83),
(8997, 7407, 206, 2417.36),
(2016, 6180, 25, 1512.57),
(812, 3871, 208, 2997.69),
(3554, 1780, 137, 1212.09),
(7732, 6752, 200, 2398.40),
(9905, 9958, 162, 4655.10),
(601, 8902, 139, 1120.64),
(416, 3702, 108, 2389.12),
(2562, 1588, 148, 4260.13),
(3036, 6348, 127, 2689.36),
(8012, 7803, 108, 3978.04),
(9310, 6037, 134, 4094.00),
(7901, 6476, 205, 1731.69),
(9181, 5103, 85, 2090.74),
(7489, 2347, 194, 2282.40),
(5363, 4542, 25, 4885.31),
(3569, 8960, 182, 1479.89),
(1080, 9476, 119, 3768.71),
(5669, 6770, 8, 2951.22),
(9524, 2579, 91, 2964.14),
(5323, 2624, 88, 4879.71),
(1915, 6214, 48, 3271.96),
(2433, 6158, 106, 2153.93),
(4003, 1033, 16, 3641.75),
(5124, 4924, 210, 2595.27),
(271, 6892, 178, 1732.84),
(1184, 2891, 121, 4762.29),
(4058, 2061, 28, 2145.12),
(857, 4421, 38, 3252.04),
(9839, 7622, 212, 4693.55),
(7685, 6, 143, 4304.84),
(7030, 3842, 71, 4294.56),
(30, 2710, 178, 4078.19),
(492, 6638, 39, 3288.55),
(8182, 4016, 95, 3825.44),
(3282, 6609, 57, 3167.10),
(1202, 4110, 97, 1314.22),
(9678, 3628, 28, 2926.49),
(3175, 4406, 216, 2201.61),
(2127, 1613, 159, 1942.26),
(8156, 8528, 138, 1899.52),
(2810, 4321, 112, 4696.47),
(7666, 5699, 232, 2847.37),
(400, 597, 143, 3567.26),
(8150, 2377, 82, 2483.26),
(6703, 6207, 151, 1273.75),
(7632, 8285, 2, 3122.18),
(3213, 5030, 139, 4151.58),
(6582, 4687, 176, 1416.85),
(9545, 5611, 68, 4019.18),
(590, 9075, 106, 3787.51),
(6108, 2003, 143, 4376.11),
(9610, 8246, 164, 3565.32),
(5323, 2963, 78, 4573.29),
(8468, 8175, 120, 1438.14),
(1495, 7774, 232, 3525.20),
(4944, 5299, 186, 2395.08),
(5257, 5182, 131, 3630.57),
(64, 6586, 225, 2994.31),
(9396, 6013, 212, 3269.48),
(3379, 5000, 188, 3294.98),
(7067, 4146, 168, 4581.13),
(6957, 445, 14, 2873.74),
(2450, 1344, 227, 2300.20),
(1542, 1798, 108, 2521.71),
(1013, 5223, 106, 4550.08),
(4338, 6032, 23, 3855.13),
(8999, 5009, 66, 1350.54),
(205, 5271, 171, 4287.63),
(8017, 8966, 6, 4749.08),
(7693, 9376, 122, 1361.39),
(4314, 2911, 71, 1093.45),
(6, 3474, 221, 1091.62),
(6891, 9291, 59, 4664.38),
(7662, 9569, 4, 3550.67),
