employee_id;job_id;rank_id;sci_job_id;main_work_id
11;11;3;3;14899
12;10;2;4;17944
13;12;2;2;2455
14;6;1;5;12047
15;8;1;3;4969
16;12;3;6;1729
17;7;3;4;2226
18;6;1;6;1950
19;10;3;6;19255
20;10;1;3;12827
21;9;4;1;5440
22;10;2;1;10207
23;3;4;2;5236
24;6;2;1;2123
25;5;4;2;3506
26;6;2;1;5345
27;8;1;3;13238
28;9;2;4;17413
29;5;1;4;14309
30;5;1;5;10663
31;11;1;4;3847
32;9;2;4;8638
33;9;4;3;10686
34;6;3;1;5320
35;12;2;3;12103
36;8;4;6;16324
37;3;3;5;14228
38;11;4;3;12047
39;10;1;4;14829
40;3;4;1;18770
41;12;1;5;9014
42;6;3;1;14810
43;7;1;2;8818
44;5;4;4;14910
45;7;4;5;11206
46;4;2;2;878
47;5;2;6;15307
48;10;4;6;8032
49;7;2;3;11189
50;7;1;3;18266
51;12;2;6;6485
52;9;1;2;4273
53;9;4;2;1626
54;4;2;4;5335
55;4;2;4;11438
56;8;4;2;11115
57;7;3;1;18571
58;5;1;6;11282
59;4;4;2;9928
60;5;2;1;6495
61;11;4;4;18807
62;11;1;6;17326
63;3;1;2;858
64;11;1;1;9123
65;9;4;1;8636
66;5;3;5;19866
67;7;4;4;13126
68;8;4;4;5641
69;10;1;3;11774
70;5;2;6;5538
71;3;3;2;7222
72;7;3;4;6119
73;3;1;5;16702
74;12;4;1;1757
75;8;2;1;3903
76;10;4;5;15008
77;3;1;1;14172
78;10;3;3;18932
79;4;4;4;3023
80;8;3;6;9775
81;10;2;4;2897
82;6;3;3;8042
83;9;3;6;15890
84;6;2;1;18209
85;7;1;1;5628
86;12;2;2;12371
87;9;1;5;3736
88;4;3;6;8438
89;9;1;3;18443
90;10;2;3;16795
91;10;1;2;327
92;7;3;5;13252
93;5;3;2;7235
94;4;1;6;4134
95;4;4;4;14066
96;12;4;6;15886
97;8;4;6;2430
98;5;4;6;1872
99;3;2;5;9585
100;10;2;1;14787
101;3;1;1;19524
102;7;3;5;6723
103;6;4;1;8094
104;6;2;2;12578
105;5;4;5;11821
106;9;3;2;18531
107;6;2;6;14637
108;4;4;5;14697
109;6;1;2;2040
110;4;3;1;15390
111;5;4;4;4048
112;12;4;2;15806
113;6;1;5;16835
114;10;4;5;12821
115;7;1;1;16391
116;9;2;6;1204
117;9;3;6;1883
118;6;1;5;4550
119;12;4;5;2680
