sci_job_id;project_id;sum
5;2;5158,54
6;2;4800,58
1;3;4892,02
2;3;4541,8
3;3;2166,96
4;3;3810,42
5;3;2172,51
6;3;5066,42
1;4;4522,32
2;4;4797,97
3;4;4095,22
4;4;1068,14
5;4;5357
6;4;2328,11
1;5;1812,41
2;5;4454,16
3;5;3844,55
4;5;5882,37
5;5;4755,54
6;5;3271,22
1;6;1624
2;6;4849,64
3;6;1635,06
4;6;2084,84
5;6;5570,15
6;6;2757
1;7;2580,75
2;7;1393,56
3;7;1723,71
4;7;1302,89
5;7;4323,28
6;7;1222,56
1;8;3211,64
2;8;3543,71
3;8;3543,29
4;8;5862,07
5;8;2733,89
6;8;1653,64
1;9;1180,31
2;9;1109,26
3;9;5227,42
4;9;2008,95
5;9;1075,21
6;9;4239,37
1;10;5656,94
2;10;4708,91
3;10;2262,83
4;10;5187,79
5;10;1477,17
6;10;2089,29
1;11;2718,44
2;11;5327,76
3;11;1045
4;11;2245,04
5;11;3561,82
6;11;4754,6
1;12;1392,17
2;12;1885,38
3;12;4679,33
4;12;5621,88
5;12;2242,88
6;12;4299,72
1;13;5093,82
2;13;4108,32
3;13;4577,29
4;13;5096,15
5;13;5734,74
6;13;1097,54
1;14;2059,31
2;14;3767,74
3;14;1478,97
4;14;5599,77
5;14;3781,02
6;14;3772,73
1;15;3812,63
2;15;5756,74
3;15;2623,34
4;15;1637,43
5;15;2742,76
6;15;4444,79
1;16;2087,05
2;16;5742,42
3;16;5053,54
4;16;3533,8
5;16;3459,72
6;16;4402,68
1;17;5750,99
2;17;5920,74
3;17;2950,28
4;17;3332,35
5;17;2748,48
6;17;4934,66
1;18;1719,9
2;18;2089,57
3;18;1524,46
4;18;1436,95
5;18;4297,83
6;18;1747,83
1;19;2310,84
2;19;1300,78
3;19;5018,06
4;19;5033,29
5;19;2004,89
6;19;4383,68
1;20;4939,65
2;20;3019,72
3;20;5582,19
4;20;4102,26
5;20;5610,81
6;20;2481,5
1;21;2742,26
2;21;1240,44
3;21;1995,83
4;21;2926,33
5;21;3639,66
6;21;3223,48
1;22;3816,82
2;22;4584,57
3;22;1514,32
4;22;3110,39
5;22;4365,7
6;22;2898,98
1;23;5991,39
2;23;5368,94
3;23;1807,56
4;23;1241,17
5;23;2157,86
6;23;4602,09
1;24;4970,74
2;24;4882,63
3;24;3578,18
4;24;1372,46
5;24;5676,47
6;24;2469,84
1;25;1500,08
2;25;3917,02
3;25;4996,72
4;25;3407,05
5;25;1474,46
6;25;2533,77
1;26;1433,94
2;26;3772,34
3;26;4251,47
4;26;2248,95
5;26;5975,33
6;26;2474,22
1;27;1456,54
2;27;4384,73
3;27;3015,9
4;27;4771,42
5;27;4769,98
6;27;2199,93
1;28;5055,13
2;28;1067,79
3;28;4320,08
4;28;2437,29
5;28;1273,08
6;28;1342,71
1;29;5890,13
2;29;2971,54
3;29;2202,12
4;29;3284,73
5;29;2790,47
6;29;5370,59
1;30;3568,6
2;30;3621,86
3;30;2763,32
4;30;3105,82
5;30;1457,8
6;30;3670,33
1;31;4624,62
2;31;5343,63
3;31;4736,21
4;31;3147,83
5;31;5034,55
6;31;1553,57
1;32;2122,09
2;32;1108,85
3;32;3969,34
4;32;4004,83
5;32;4124,13
6;32;2494,5
1;33;3082,89
2;33;5607,25
3;33;1041,95
4;33;3655,06
5;33;3684,96
6;33;4197,99
1;34;1739,82
2;34;5603,75
3;34;4661,79
4;34;3845,69
5;34;1814,29
6;34;5990,6
1;35;3738,26
2;35;4672,63
3;35;1107,02
4;35;4362,48
5;35;4101,48
6;35;2933,42
1;36;1125,97
2;36;2172,35
3;36;5322,6
4;36;1529,68
5;36;4136,26
6;36;5783,11
1;37;5674,66
2;37;5528,47
3;37;1868,77
4;37;4875,34
5;37;3442,77
6;37;5538,87
1;38;2518,64
2;38;4196,46
3;38;3569,15
4;38;5220,99
5;38;2022,4
6;38;5076,8
1;39;3032,91
2;39;5447,78
3;39;1420,16
4;39;4597,36
5;39;2142,04
6;39;2194,03
1;40;3797,51
2;40;1724,13
3;40;5845,56
4;40;3953,37
5;40;2754,13
6;40;2608,35
1;41;2461,38
2;41;3697,19
3;41;2498,29
4;41;1032,95
5;41;5824,76
6;41;4638
1;42;2510,15
2;42;3507,79
3;42;3944,51
4;42;5033,03
5;42;4402,93
6;42;1838,84
1;43;4797,26
2;43;2054,87
3;43;3730,31
4;43;2606,04
5;43;5042,38
6;43;2966,34
1;44;2382,46
2;44;2949,61
3;44;1717,06
4;44;4571,78
5;44;3484,79
6;44;2770,7
1;45;1291,61
2;45;2803,13
3;45;5817,76
4;45;2840,9
5;45;2088,07
6;45;5948,1
1;46;4129,98
2;46;5294,33
3;46;2301,72
4;46;2302,2
5;46;5072,61
6;46;5197,59
1;47;1156,7
2;47;2229,02
3;47;1082,24
4;47;2112,86
5;47;2268,71
6;47;2337,03
1;48;5542,73
2;48;5533,88
3;48;4751,6
4;48;4537,91
5;48;4148,56
6;48;1624,21
1;49;1883,79
2;49;4328,01
3;49;2490,04
4;49;4794,34
5;49;5615,61
6;49;4064,99
1;50;2968,73
2;50;1570,17
3;50;4852,87
4;50;4379,11
5;50;4844,56
6;50;3289,69
1;51;3365,2
2;51;4036,64
3;51;5789,5
4;51;3640,39
5;51;4899,4
6;51;4234,32
1;52;3943,14
2;52;2950,13
3;52;3319,05
4;52;5097,84
5;52;3680,86
6;52;4031,73
1;53;1540,51
2;53;1216,46
3;53;1085,32
4;53;2826,31
5;53;4049,37
6;53;2973,97
1;54;2420,75
2;54;2843,24
3;54;3907,83
4;54;5217,23
5;54;1335,85
6;54;1284,18
1;55;5958,83
2;55;3778,11
3;55;5463,32
4;55;5009,6
5;55;3252,31
6;55;2208,67
1;56;3005,05
2;56;1345,6
3;56;2218,76
4;56;2794,53
5;56;1370,62
6;56;4934
1;57;3718,98
2;57;4265,83
3;57;3422,24
4;57;4518,94
5;57;3102,65
6;57;2954,52
1;58;5536,67
2;58;2232,25
3;58;4033,29
4;58;5432,42
5;58;1264
6;58;3106,55
1;59;4079,42
2;59;5690,74
3;59;3270,48
4;59;1388,89
5;59;3279,68
6;59;2774,34
1;60;3984,53
2;60;3655,61
3;60;3723,39
4;60;2654,41
5;60;5814,65
6;60;2397,86
1;61;2538,01
2;61;4833,25
3;61;2101,49
4;61;4103,92
5;61;4100,97
6;61;5394,21
1;62;5134,21
2;62;4117,21
3;62;3002,58
4;62;5427,05
5;62;4473,07
6;62;1376,5
1;63;5467,82
2;63;4260,44
3;63;5503,71
4;63;1170,25
5;63;1546,03
6;63;5331,19
1;64;1902,23
2;64;4721,73
3;64;3679,31
4;64;2502,83
5;64;3087,14
6;64;2596,78
1;65;5755,4
2;65;4471,52
3;65;1590,5
4;65;4923,9
5;65;4183,54
6;65;1605,97
1;66;2330,26
2;66;3217,52
3;66;3290,69
4;66;4269,38
5;66;3452,56
6;66;5895,55
1;67;5189,33
2;67;1697,9
3;67;1386,86
4;67;3093,12
5;67;5621,76
6;67;3803,89
1;68;5564,6
2;68;5040,19
3;68;3757,79
4;68;2083,94
5;68;4164,92
6;68;3192,5
1;69;2598,93
2;69;3156,47
3;69;1117,61
4;69;5635,06
5;69;5631,05
6;69;5634,4
1;70;5643,1
2;70;3928,38
3;70;5211,42
4;70;3977,6
5;70;1208,9
6;70;1470,94
1;71;3794,02
2;71;5305,14
3;71;3570,52
4;71;1177,27
5;71;2873,98
6;71;1239,78
1;72;2542,97
2;72;1779,84
3;72;5394,4
4;72;4860,32
5;72;1059,25
6;72;3179,04
1;73;2142,85
2;73;4011,67
3;73;5163,24
4;73;1607,91
5;73;3983,32
6;73;4608,57
1;74;5096,78
2;74;5019,45
3;74;1691,33
4;74;2212,23
5;74;2822,27
6;74;1816,56
1;75;5823,17
2;75;4176,73
3;75;3314,75
4;75;4838,19
5;75;4466
6;75;3096,23
1;76;2891,86
2;76;1257,04
3;76;3090,76
4;76;4140,93
5;76;3420,28
6;76;1451,47
1;77;1850,26
2;77;3235,57
3;77;5496
4;77;5794,03
5;77;4014,85
6;77;1446,86
1;78;4015,91
2;78;4358,69
3;78;2810,41
4;78;3196,32
5;78;1652,87
6;78;1996,86
1;79;5990,93
2;79;5622,46
3;79;3431,74
4;79;2262,56
5;79;4676,88
6;79;2245,98
1;80;2609,75
2;80;2636,13
3;80;1872,42
4;80;1893,76
5;80;4206,12
6;80;4714,04
1;81;4298,34
2;81;3501,45
3;81;3003,92
4;81;5772,39
5;81;1067,86
6;81;4531,55
1;82;4887,9
2;82;2397,84
3;82;3912,05
4;82;5402,7
5;82;4116,45
6;82;3555,4
1;83;5226,32
2;83;4779,4
3;83;2134,94
4;83;3768,8
5;83;2457,4
6;83;5899,55
1;84;1066,8
2;84;5069,37
3;84;5883
4;84;5571,09
5;84;5197,86
6;84;5498,35
1;85;1992,53
2;85;3880,89
3;85;1667,99
4;85;4205,15
5;85;1885,51
6;85;2945,31
1;86;4807,2
2;86;3005,75
3;86;3610,23
4;86;3948,21
5;86;3716,95
6;86;3263,61
1;87;3565,63
2;87;1712,86
3;87;1688,48
4;87;1572,81
5;87;3765,46
6;87;3975,59
1;88;3924,18
2;88;4849,36
3;88;4226,42
4;88;5312,09
5;88;2296,86
6;88;2422,43
1;89;4719,22
2;89;5824,8
3;89;3691,38
4;89;3177,98
5;89;3860,98
6;89;4277,15
1;90;1450,52
2;90;1072,53
3;90;5561,63
4;90;4277,61
5;90;1720,21
6;90;4630,59
1;91;2952,43
2;91;5162,83
3;91;4747,6
4;91;1037,99
5;91;3394,5
6;91;2202,26
1;92;2405,13
2;92;5286,59
3;92;4951,51
4;92;2845,64
5;92;2915,27
6;92;2437,53
1;93;5030,78
2;93;3079,46
3;93;2833,16
4;93;4349,51
5;93;2659,81
6;93;2684,53
1;94;4731,09
2;94;3670,27
3;94;5795,3
4;94;5907,3
5;94;4861,64
6;94;5388,51
1;95;2126,18
2;95;2873,05
3;95;5193,59
4;95;1087,24
5;95;4249,47
6;95;4668,32
1;96;2464,16
2;96;5657,2
3;96;1904,19
4;96;4594,87
5;96;1412,21
6;96;1202,7
1;97;4149,43
2;97;3514,4
3;97;4025,05
4;97;5758,18
5;97;4848,39
6;97;3948,92
1;98;5983,01
2;98;1337,2
3;98;1782,58
4;98;1625,97
5;98;4060,76
6;98;4480,99
1;99;5030,65
2;99;2552,56
3;99;1470,69
4;99;4123,63
5;99;2652
6;99;4828,09
1;100;5688,19
2;100;4237,64
3;100;3836,64
4;100;1257,43
5;100;5215,1
6;100;2846,82
1;101;4905,16
2;101;3097,24
3;101;5811,89
4;101;1431,82
5;101;5661,04
6;101;5237,43
1;102;1387,24
2;102;5241,61
3;102;3383,12
4;102;3562,52
5;102;4506,82
6;102;2388,01
1;103;2634,02
2;103;2256,39
3;103;3246,49
4;103;2355,94
5;103;5078,32
6;103;1325,19
1;104;4375,9
2;104;4264,38
3;104;5502,28
4;104;5815,31
5;104;2292,84
6;104;5212,45
1;105;2154,92
2;105;4963,19
3;105;2041,17
4;105;5988,86
5;105;1497,81
6;105;4437,31
1;106;5099,92
2;106;3430,36
3;106;5433,86
4;106;2999,12
5;106;5522,74
6;106;3187,14
1;107;5952,29
2;107;1364,85
3;107;4741,79
4;107;1192,78
5;107;4186,07
6;107;3127,14
1;108;2880,51
2;108;4873,5
3;108;4128,71
4;108;3749,03
5;108;4545,48
6;108;5394,22
1;109;3436,19
2;109;1645,72
3;109;1975,65
4;109;1443,5
5;109;2407,33
6;109;3288,07
1;110;2172,63
2;110;5295,79
3;110;5727,39
4;110;5840,91
5;110;5108,29
6;110;2591,58
1;111;3207,47
2;111;3896,44
3;111;2601,66
4;111;4116,47
5;111;5208,85
6;111;1921,74
1;112;1714,44
2;112;1710,11
3;112;4093,67
4;112;4203,89
5;112;4043,97
6;112;3837,22
1;113;1623,93
2;113;1043,4
3;113;5162,55
4;113;4119,01
5;113;1332,59
6;113;2136,21
1;114;3683,76
2;114;2529,93
3;114;4901,49
4;114;2105,57
5;114;4683,48
6;114;5857,22
1;115;3654,61
2;115;3304,3
3;115;3514,95
4;115;4827,64
5;115;1661,37
6;115;1184,92
1;116;4033,19
2;116;4129,05
3;116;1381,99
4;116;2727,21
5;116;3370,53
6;116;2263,08
1;117;1637,13
2;117;2389,41
3;117;2593,51
4;117;2890,1
5;117;3641,83
6;117;1229,68
1;118;2445,27
2;118;1465,16
3;118;2198,39
4;118;1956,7
5;118;5244,05
6;118;5686,35
1;119;3889,76
2;119;1266,83
3;119;3300,91
4;119;1228,54
5;119;1746,42
6;119;2070,16
1;120;2634,88
2;120;4171,5
3;120;2810,78
4;120;1327,58
5;120;4187,84
6;120;2056,32
1;121;2784,83
2;121;5520,93
3;121;4885,87
4;121;5259,38
5;121;2466,63
6;121;1010,41
1;122;5156,32
2;122;4560,84
3;122;3135,53
4;122;5125,91
5;122;5444,25
6;122;2719,26
1;123;4704,25
2;123;5796,97
3;123;5418,38
4;123;2059,33
5;123;5369,17
6;123;2159,21
1;124;4982,77
2;124;2235,82
3;124;2828,04
4;124;1909,78
5;124;1142,38
6;124;3012,84
1;125;2880,46
2;125;5105,82
3;125;1767,34
4;125;1315,24
5;125;2267,45
6;125;1912,15
1;126;4867,19
2;126;2889,72
3;126;4932,39
4;126;2846,39
5;126;2116,29
6;126;1100,32
1;127;1349,85
2;127;3521,15
3;127;2698,11
4;127;3848,42
5;127;4307,95
6;127;4569,08
1;128;4846,85
2;128;3291,8
3;128;1914,38
4;128;4302,03
5;128;4327,3
6;128;1376,12
1;129;1248,61
2;129;2604,61
3;129;4408,6
4;129;1062,93
5;129;1455,46
6;129;2786,86
1;130;3761,6
2;130;5557,96
3;130;1176,1
4;130;5154,42
5;130;3961,47
6;130;3994,78
1;131;2764,9
2;131;4192,88
3;131;4656,58
4;131;3261,45
5;131;4619,6
6;131;5765,9
1;132;1557,43
2;132;5129,86
3;132;1603,53
4;132;2804,05
5;132;3322,63
6;132;3400,48
1;133;4584,51
2;133;4099,82
3;133;5144,51
4;133;5291,54
5;133;1020,84
6;133;1841,36
1;134;2226,1
2;134;3984,54
3;134;4439,97
4;134;5241,84
5;134;3326,07
6;134;5392,35
1;135;2339,08
2;135;2567,95
3;135;3448,46
4;135;2035,55
5;135;1810,56
6;135;1526,41
1;136;5213,3
2;136;5915,94
3;136;3430,88
4;136;4931,49
5;136;5995,69
6;136;4031,9
1;137;4545,51
2;137;3226,99
3;137;4574,14
4;137;4711,67
5;137;5528,84
6;137;5257,64
1;138;5128,66
2;138;1785,73
3;138;1318,62
4;138;5362,99
5;138;4755,45
6;138;3392,55
1;139;1035,9
2;139;3754,96
3;139;4644,73
4;139;4520,8
5;139;2250,46
6;139;3253,75
1;140;2108,45
2;140;5201,45
3;140;1226,58
4;140;3415,14
5;140;3194,95
6;140;4939,02
1;141;1728,21
2;141;2731,46
3;141;4619,35
4;141;2059,18
5;141;3115,59
6;141;5197,47
1;142;4471,75
2;142;5811,29
3;142;2744,77
4;142;1725,67
5;142;4398,27
6;142;5922,04
1;143;5677,5
2;143;3127,64
3;143;1778,02
4;143;5789,23
5;143;5975,25
6;143;2671,44
1;144;3942,35
2;144;4338,07
3;144;3978,34
4;144;2293,2
5;144;5499,03
6;144;5851,12
1;145;4636,99
2;145;2874,74
3;145;4910,25
4;145;3477,9
5;145;1350,56
6;145;2444,18
1;146;4573,24
2;146;5782,62
3;146;3819,8
4;146;3004,4
5;146;2322,63
6;146;3800,35
1;147;1030,99
2;147;2239
3;147;3006,58
4;147;2611,35
5;147;1632,6
6;147;1146,32
1;148;1087,78
2;148;4828,41
3;148;1893,88
4;148;1718,63
5;148;2120,68
6;148;1898,36
1;149;2766,67
2;149;4850,14
3;149;1332,42
4;149;1251,28
5;149;2243,17
6;149;4042,71
1;150;4630,95
2;150;2293,54
3;150;2786,21
4;150;2918,61
5;150;5888,14
6;150;5132,18
1;151;4749,01
2;151;5472,45
3;151;5961,83
4;151;2765,09
5;151;4823,76
6;151;3464,99
1;152;1861,05
2;152;2562,76
3;152;5798,15
4;152;5120,99
5;152;3803,77
6;152;2293,48
1;153;2811,39
2;153;1560,68
3;153;2802,67
4;153;2018,98
5;153;5514,12
6;153;4735,6
1;154;5741,22
2;154;2591,54
3;154;1250,68
4;154;2049,33
5;154;2622,17
6;154;3818,58
1;155;5622,83
2;155;4762,54
3;155;5067,96
4;155;1803,3
5;155;5239,98
6;155;2953,03
1;156;4702,83
2;156;1402,48
3;156;2540,02
4;156;1367,27
5;156;1014,85
6;156;4013,35
1;157;5767,94
2;157;4093,06
3;157;5566,95
4;157;3242,36
5;157;2500,57
6;157;5692,45
1;158;4603,27
2;158;1182,71
3;158;3791,74
4;158;1257,68
5;158;5421,75
6;158;4988,63
1;159;5920,92
2;159;5486,63
3;159;2738,83
4;159;2914,09
5;159;1251,7
6;159;4343,9
1;160;5006,62
2;160;3728,86
3;160;4774,29
4;160;2879,57
5;160;1747,69
6;160;3783,57
1;161;5803,58
2;161;2370,61
3;161;5142,39
4;161;2453,25
5;161;1686,83
6;161;5560,04
1;162;2416,28
2;162;3034,1
3;162;4629,32
4;162;5908,78
5;162;2012,01
6;162;1479,3
1;163;2137,5
2;163;3150,4
3;163;4108,26
4;163;3516,45
5;163;3345,67
6;163;2941,41
1;164;5356,72
2;164;5363,43
3;164;5521,11
4;164;1263,87
5;164;2247,29
6;164;3769,9
1;165;3339,92
2;165;2994,71
3;165;4773,07
4;165;1998,81
5;165;2679,63
6;165;5905,91
1;166;3650,75
2;166;2255,47
3;166;3888,61
4;166;5005,7
5;166;3090,33
6;166;5157,19
1;167;4037,19
2;167;4515,94
3;167;5021,8
4;167;1866,48
5;167;1408,62
6;167;4112,11
1;168;3371,01
2;168;2067,22
3;168;3979,57
4;168;1009,51
5;168;5507,86
6;168;4893,25
1;169;1725,68
2;169;4683,16
3;169;5955,85
4;169;1432,62
5;169;2576,83
6;169;1456,06
1;170;4162,16
2;170;5329,29
3;170;4610,32
4;170;5177,87
5;170;4482,14
6;170;2283,34
1;171;4429,31
2;171;3085,03
3;171;3532,34
4;171;3301,28
5;171;4538,44
6;171;4847,13
1;172;4710,86
2;172;5721,57
3;172;4770,24
4;172;5999,29
5;172;5059,28
6;172;4188,36
1;173;2426,02
2;173;1267,18
3;173;5715,36
4;173;4382,15
5;173;5458,51
6;173;2787,01
1;174;4909,97
2;174;4032,28
3;174;1955,76
4;174;2981,59
5;174;2977,17
6;174;3620,08
1;175;5076,79
2;175;3942,69
3;175;5559,24
4;175;1917,68
5;175;4623,14
6;175;3263,42
1;176;4250,32
2;176;1051,7
3;176;1776,83
4;176;2166,08
5;176;4691,11
6;176;2963,99
1;177;1405,48
2;177;4766,03
3;177;4075,35
4;177;1293,88
5;177;2450,4
6;177;3960,31
1;178;1915,43
2;178;1879,28
3;178;4113,27
4;178;1902,69
5;178;5975,57
6;178;2805,88
1;179;5151,92
2;179;3192,56
3;179;3064,12
4;179;2674,19
5;179;2852,4
6;179;4818,44
1;180;5529,99
2;180;3051,91
3;180;5180,44
4;180;5785,48
5;180;1123,1
6;180;5964,02
1;181;2977,02
2;181;2132,06
3;181;3185,95
4;181;5322,98
5;181;5156,55
6;181;3490,65
1;182;4029,86
2;182;5834,84
3;182;2084,77
