id;employee_id;begin_date;end_date;sum
10;6506;13.09.2009;22.09.2009;3357,95
11;4171;21.12.2014;29.12.2014;4937,72
12;351;28.05.2015;03.06.2015;1292,25
13;4275;15.02.2019;17.02.2019;119,32
14;7253;08.03.2011;27.03.2011;1577,05
15;3486;22.08.2012;03.09.2012;2975,48
16;9503;27.01.2005;15.02.2005;2849,78
17;6583;07.11.2013;13.11.2013;508,75
18;138;26.02.2023;02.03.2023;3190,78
19;6257;26.07.2007;02.08.2007;879,17
20;1898;23.02.2019;02.03.2019;4767,11
21;6775;19.08.2018;06.09.2018;234,8
22;5919;30.06.2019;03.07.2019;1111,93
23;5782;17.05.2017;22.05.2017;737,81
24;2927;26.02.2012;27.02.2012;3540,39
25;7413;20.04.2005;24.04.2005;1646,13
26;2506;20.07.2020;08.08.2020;4589,12
27;3139;03.10.2016;06.10.2016;342,5
28;8097;08.06.2007;20.06.2007;4091,39
29;4894;27.05.2005;05.06.2005;3069,98
30;9287;27.02.2009;17.03.2009;1062,71
31;1194;27.10.2022;05.11.2022;782,72
32;1272;03.02.2014;20.02.2014;1153,28
33;7673;10.02.2019;17.02.2019;1468,21
34;4952;12.04.2005;15.04.2005;322,26
35;1922;25.09.2003;13.10.2003;381,73
36;4686;27.07.2006;06.08.2006;1219,17
37;7594;30.09.2011;06.10.2011;2479,97
38;4983;04.04.2003;14.04.2003;3399,59
39;5030;29.04.2006;08.05.2006;1034,23
40;5233;18.12.2010;05.01.2011;4243,32
41;8266;04.09.2013;17.09.2013;2821,18
42;8560;05.05.2015;22.05.2015;357,17
43;5923;12.03.2009;31.03.2009;1877,99
44;98;28.07.2014;08.08.2014;4521,91
45;7374;05.05.2015;21.05.2015;2222,76
46;1797;17.03.2016;01.04.2016;92,28
47;3148;28.08.2010;08.09.2010;4086,77
48;8680;07.11.2012;13.11.2012;1796,14
49;7864;28.11.2022;12.12.2022;1084,1
50;1498;08.02.2023;26.02.2023;3838,84
51;8470;30.10.2006;17.11.2006;882,37
52;3707;15.12.2022;29.12.2022;604,33
53;3551;15.07.2010;22.07.2010;2495,68
54;2183;04.12.2022;10.12.2022;3024,6
